scenario,slip_$,spread_$,total_pnl,final_cap,return_pct,cagr,max_dd,max_dd_pct,sharpe,sortino,n_trades,n_days,win_rate,avg_win,avg_loss,profit_factor,years
"Tight: $0 slip, $0.03/leg",0.0,0.03,231696.73000000004,1231696.73,23.16967299999999,7.2326582830560815,-70827.41999999998,-7.082741999999999,1.3643155265047051,0.771365794987976,391,748,67.0076726342711,2366.7104580152672,-4003.9320618556703,1.5965700830016554,2.9842573579739904
"Base:  $0 slip, $0.05/leg",0.0,0.05,157561.9,1157561.9,15.756189999999993,5.025109927501803,-73226.57000000002,-7.322657000000002,0.9640700245986072,0.5459082520604706,391,748,65.47314578005115,2166.4050390625,-3854.7358252427193,1.3968435850904766,2.9842573579739904
"Mod:   $2 slip, $0.05/leg",2.0,0.05,140977.12,1140977.12,14.097712000000007,4.5184662784937935,-74146.04,-7.414604,0.873652575054516,0.49327585321554007,391,748,65.21739130434783,2109.11168627451,-3815.8303846153844,1.3552435758765684,2.9842573579739904
"Wide:  $2 slip, $0.08/leg",2.0,0.08,47402.32000000001,1047402.32,4.740232,1.5640190674719001,-75919.91,-7.591991000000001,0.31165700069406277,0.1809498780106938,391,748,60.86956521739131,1910.6670168067226,-3422.995210084034,1.1163714230028479,2.9842573579739904
"Stress:$5 slip, $0.10/leg",5.0,0.1,-33623.750000000015,966376.25,-3.3623749999999952,-1.139539214515084,-114067.73999999996,-11.406773999999995,-0.23277427685758578,-0.13821891732565755,391,748,56.77749360613811,1738.2771621621623,-3154.2953383458644,0.9198520990401251,2.9842573579739904
"Worst: $5 slip, $0.15/leg",5.0,0.15,-159981.58999999997,840018.41,-15.998159000000001,-5.674350689538232,-190446.80000000002,-19.044680000000003,-1.2077841744198754,-0.7457254022983103,391,748,48.08184143222506,1488.180425531915,-2731.4255279503104,0.6362066393970651,2.9842573579739904
