Price,Open,High,Low,Close,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2001-03-19,73.88727515488767,75.11915543275532,73.28729055094206,74.90213775634766,10067800
2001-03-20,75.25318623955883,75.61062135427598,72.83410531459656,72.89154815673828,15083900
2001-03-21,72.87880908906027,73.56815264354353,71.42353149827771,71.65331268310547,19004600
2001-03-22,71.50012253531689,71.87032609926857,68.959770895102,70.92567443847656,28624800
2001-03-23,72.2852333333089,73.18521076126825,71.16824297275004,73.07032012939453,12861700
2001-03-26,73.84895323834971,74.21277244249175,73.25535297162455,74.00214385986328,9943800
2001-03-27,73.79790806559124,75.7318949713303,73.58089041359688,75.51487731933594,12880700
2001-03-28,74.61493560646139,74.64684668577328,73.33837556142248,73.427734375,10953300
2001-03-29,73.21069476949637,74.35960041476739,71.57669995816752,73.70855712890625,12060300
2001-03-30,73.75324206385757,74.48088073730469,73.0830462421457,74.48088073730469,9183600
2001-04-02,74.23193957630399,74.92127803044588,72.63624014319073,72.89154815673828,10561000
2001-04-03,72.75115989344158,72.85966632971359,70.2490984772371,70.45973205566406,12836000
2001-04-04,70.57461643208944,71.55118401179884,69.76400300890204,70.75333404541016,14884300
2001-04-05,72.31710006049376,73.71492944872304,71.8064742954067,73.43408966064453,21522800
2001-04-06,72.75754096211735,73.01923811800458,71.52566028054609,72.31713104248047,14937800
2001-04-09,72.76390273374211,73.39579842028543,71.98520053937116,73.121337890625,9034300
2001-04-10,73.68943661895126,75.15748281718447,73.51071896762356,74.45537567138672,17873600
2001-04-11,75.81488721947194,75.94892541671986,74.12982864022773,74.50641632080078,12722300
2001-04-12,74.23193996753352,75.91699818820693,74.01492231124848,75.85955047607422,9233200
2001-04-16,75.50213652940567,75.88510352881315,74.62131194379955,75.06172180175781,7350000
2001-04-17,74.87660537569705,76.3765668734844,74.69150364044481,76.12125396728516,10924700
2001-04-18,77.27016865841352,80.42327314807522,77.03400819513556,79.14671325683594,32481600
2001-04-19,79.30624427226174,80.32110654964407,78.8785980875668,80.19983673095703,13809900
2001-04-20,79.72118673627462,80.04032679136805,78.92972076315635,79.46587371826172,7626700
2001-04-23,78.92330765119974,79.07649345794596,77.81270203033388,78.02333068847656,8451800
2001-04-24,78.20203041636474,78.92328962822862,77.29567436803286,77.60205078125,10044700
2001-04-25,77.49991579804029,78.93604504507721,77.19992357617593,78.61690521240234,8249000
2001-04-26,78.9743407027763,79.92537598724395,78.82753424532511,78.96795654296875,10590400
2001-04-27,79.73390828883689,80.32112451285072,79.27434607189102,80.28282928466797,7938700
2001-04-30,80.71050037780637,81.23388975919165,79.57436280867903,80.84454345703125,10766900
2001-05-01,79.82965627709467,81.15727946118344,79.52966398485755,81.09345245361328,10578000
2001-05-02,81.32323527504238,81.50195284784672,80.42325837953513,80.94664764404297,9572900
2001-05-03,80.50623791568134,80.51900624005413,79.28712590128238,79.91902160644531,9926200
2001-05-04,78.92331480819824,81.28494861597765,78.7892766064292,81.278564453125,12145300
2001-05-07,80.97216645775767,81.30406977272905,80.57005198332712,80.57643127441406,7185200
2001-05-08,80.97221579269275,81.12540165680622,80.14244969517074,80.5381851196289,6952600
2001-05-09,79.94452390423164,80.77428937366739,79.82324921585747,80.19983673095703,9507400
2001-05-10,81.22752118967789,81.38070703941524,80.27648040123628,80.43605041503906,6872400
2001-05-11,80.42328965466916,80.73604552870175,79.4020425060083,79.88075256347656,7734400
2001-05-14,79.7211433218284,80.06581497799131,79.4402986679872,80.040283203125,7914000
2001-05-15,80.13600862247449,80.74237231650226,79.68920996452351,80.41046905517578,9782200
2001-05-16,79.6828671196118,82.46576810861659,79.54244962027158,82.30619812011719,14909000
2001-05-17,82.33811505092054,83.02745857821189,82.05727030950042,82.43385314941406,11824600
2001-05-18,82.39553709082837,82.8104248046875,81.76364632167464,82.8104248046875,6683100
2001-05-21,82.8742560088697,84.1508157492628,82.43384134013361,84.029541015625,11531500
2001-05-22,84.14445291941868,84.31040221196136,83.65936362933867,83.92105102539062,8342700
2001-05-23,83.64658648192133,83.64658648192133,82.4976806640625,82.4976806640625,12330800
2001-05-24,82.63809962391767,82.97638719255241,82.05088328328038,82.74022674560547,7902800
2001-05-25,82.75299036153612,82.78490630642591,81.6360053357358,81.76366424560547,7425000
2001-05-29,81.84020236374407,81.92318181949479,80.99767357637847,81.11256408691406,9003900
2001-05-30,80.79987853926747,81.11901860118674,79.78501547981584,79.97650146484375,10041800
2001-05-31,80.05946158980804,80.90837516908437,79.95095515718505,80.39136505126953,9874200
2001-06-01,80.55092112575946,81.12537400751245,79.86158253734504,80.88921356201172,8848300
2001-06-04,80.93389757411283,81.33601217941998,80.4743352425107,81.278564453125,5623500
2001-06-05,81.37429927751022,82.48490488799825,81.23387692693458,82.21044921875,9115400
2001-06-06,82.22955710548128,82.22955710548128,81.29128537059881,81.52745056152344,12064900
2001-06-07,81.09345966333055,81.92322544457954,81.06154372186367,81.82109832763672,7355300
2001-06-08,81.50833263099156,81.61684390343817,80.51261765097532,81.06153869628906,8170600
2001-06-11,80.87643451051383,81.05515207898078,80.04667367553316,80.4870834350586,7012200
2001-06-12,79.69559086490479,80.89555475408581,79.17220179019226,80.34663391113281,9364400
2001-06-13,80.5317891456849,80.79348629195685,79.5616056556474,79.6573486328125,7629400
2001-06-14,79.26157478300033,79.33817010148158,77.71055488899107,77.87012481689453,12603000
2001-06-15,77.3939116822209,78.34765214688532,77.06746176828764,77.99559783935547,16821100
2001-06-18,77.86759484716966,78.37327072425619,77.39392568875606,77.61795806884766,11368300
2001-06-19,78.33484527410167,78.66129517872413,77.38110483663922,77.95719146728516,7732300
2001-06-20,77.57315782012313,78.64211589347201,77.51554669859499,78.36687469482422,8787200
2001-06-21,78.23244792846138,79.570244754199,78.18764145304289,79.25659942626953,12259100
2001-06-22,79.04535695922233,79.10936550419777,78.19403403232505,78.63569641113281,12212000
2001-06-25,78.91093092489788,79.01334849509146,77.77156231595622,77.91238403320312,8406800
2001-06-26,77.38751075118275,78.34125123295621,77.17627816287556,77.80357360839844,8005800
2001-06-27,77.83559738278376,78.24525803609788,77.39393489053148,77.7587890625,10105100
2001-06-28,78.09162968299756,79.33341617675501,78.04682320557022,78.1876449584961,10269300
2001-06-29,78.60369182984981,79.37820642908969,78.25803983883107,78.47566986083984,9824200
2001-07-02,78.60371681036698,79.57665966635325,78.48849944341094,79.45503997802734,8522200
2001-07-03,79.35902847078395,79.43583679199219,78.7637395637188,79.43583679199219,3303100
2001-07-05,78.77651938937309,79.14777579307221,77.87398765876831,77.88678741455078,5517900
2001-07-06,77.64995031793084,77.76516765397407,76.20333862304688,76.20333862304688,11665900
2001-07-09,76.48498822297857,77.15709026066837,76.29935999463055,76.6194076538086,8339300
2001-07-10,76.99707039408031,77.22110279032783,75.66567089132363,75.69767761230469,8630700
2001-07-11,75.59524159492803,76.10091738528453,74.94874408022682,75.77446746826172,15328600
2001-07-12,76.49137297369982,77.75236124258223,76.36975332841516,77.57313537597656,12002800
2001-07-13,77.34912004645778,78.29646331684748,77.20830317109146,78.24525451660156,10433800
2001-07-16,77.94439908344901,78.27084903939571,76.9970608161479,77.26589965820312,6915300
2001-07-17,76.93945609405516,78.05962291254995,76.70262394932458,77.98921203613281,7469800
2001-07-18,77.1698705092015,77.8611744503092,76.8498229309337,77.45791625976562,7709300
2001-07-19,78.20686261167657,78.71894092728856,77.29792824082902,78.1364517211914,10082900
2001-07-20,77.54755177059512,78.05322767752102,77.40032769296761,77.6691665649414,6705800
2001-07-23,77.9636033715146,78.01480728000385,76.13932800292969,76.13932800292969,8065200
2001-07-24,76.17134117110037,76.29935827847629,74.73112673719301,75.40322875976562,12269000
2001-07-25,75.4800313364744,76.478583255596,75.18558810504726,76.23534393310547,12088500
2001-07-26,76.2097455248957,77.35551670798793,75.88969787208354,77.03546905517578,12898200
2001-07-27,77.34270728822078,77.6755546568054,76.75382085266543,77.32990264892578,8478800
2001-07-30,77.5731494635822,77.67556217015319,77.00346504832628,77.35551452636719,8547700
2001-07-31,77.45155805944164,78.52691873031934,77.32354090862766,77.67559051513672,11918100
2001-08-01,78.072420134774,78.53968694273192,77.80358129593199,78.16203308105469,11940800
2001-08-02,78.87894703106465,78.89174678847978,78.02121677806166,78.48208618164062,11070100
2001-08-03,78.32203088823915,78.32203088823915,77.38749269912121,78.05319213867188,10816300
2001-08-06,77.67557624753941,77.77799385621135,76.87545699306632,77.00347900390625,8550100
2001-08-07,76.98425078744165,77.57953954377652,76.75382099862271,77.3042984008789,8865100
2001-08-08,76.88826050275233,77.5539602986878,75.80649772391466,75.8705062866211,15183800
2001-08-09,75.97929561216714,76.15212404486545,75.44161800719164,76.09451293945312,14118500
2001-08-10,76.04332639953971,76.70902123859011,75.10878292953869,76.35697174072266,11173300
2001-08-13,76.55536260211541,76.71538635541562,76.04968695566224,76.37613677978516,7431600
2001-08-14,76.90102358449965,77.03544296713488,76.04329850953057,76.3441390991211,13178100
2001-08-15,76.31856573002523,76.56180018901782,75.58245514903602,75.68486785888672,8520600
2001-08-16,75.40323135101268,76.01131995725481,74.8911531368321,75.94731140136719,10734700
2001-08-17,75.30719623745198,75.44801795343237,74.25744057010174,74.73110961914062,11604600
2001-08-20,74.76313455440159,75.46723842239471,74.60311072606044,75.42243194580078,10417400
2001-08-21,75.40320899991413,75.87687803332483,74.12301872747781,74.13581848144531,14480800
2001-08-22,74.73110712610375,75.16637201391424,74.11021406283336,74.9039306640625,11752300
2001-08-23,74.8655512930408,75.22400312507783,74.5647056982069,74.63511657714844,8744100
2001-08-24,75.02554204297823,76.25452339671779,74.72469658082017,76.18411254882812,11687700
2001-08-27,76.15214821769378,76.29936742046154,75.69768108345474,75.72968292236328,7425100
2001-08-28,75.7104745564755,75.84489398922776,74.622314453125,74.622314453125,12046600
2001-08-29,74.9743608173753,75.00636753582803,73.71977461395345,73.95661163330078,16180000
2001-08-30,73.51491284688423,74.08459703001922,71.7162473844156,72.53556823730469,17692600
2001-08-31,72.58679264023584,73.46371989024766,72.41396421101729,73.06686401367188,15985400
2001-09-04,72.87486587212585,74.35988711806041,72.5676227914722,72.59962463378906,24473400
2001-09-05,72.77883911132812,73.09248934798458,71.65867225237209,72.77883911132812,21477100
2001-09-06,72.10672530291967,72.52278815989408,70.9033432006836,70.9033432006836,21653000
2001-09-07,70.42325373462096,71.2105727779108,69.53352202497771,69.59113311767578,33133900
2001-09-10,68.93826176420743,70.63451528364239,68.93826176420743,70.44248962402344,23408700
2001-09-17,64.64961622610511,68.10613133767396,64.00952101594567,66.76193237304688,32388700
